Insertar;Código;Descripción;PVP;"Precio PS"
;B400054-S;"Capucha Cressi Orust 5 mm (Talla - S)";44,99;42.99
;B400054-M;"Capucha Cressi Orust 5 mm (Talla - M)";44,99;42.99
;B400054-L;"Capucha Cressi Orust 5 mm (Talla - L)";44,99;42.99
;B400054-XL;"Capucha Cressi Orust 5 mm (Talla - XL)";44,99;42.99
;B400054-XXL;"Capucha Cressi Orust 5 mm (Talla - XXL)";44,99;42.99
;;;;
;B120778-2;"Traje de Pesca Submarina Cressi Apnea (Talla - 2, Grosor - 7 mm)";;174.99
;B120778-3;"Traje de Pesca Submarina Cressi Apnea (Talla - 3, Grosor - 7 mm)";;174.99
;B120778-4;"Traje de Pesca Submarina Cressi Apnea (Talla - 4, Grosor - 7 mm)";;174.99
;B120777-3;"Traje de Pesca Submarina Cressi Apnea (Talla - 3, Grosor - 5 mm)";;176.99
;B120777-4;"Traje de Pesca Submarina Cressi Apnea (Talla - 4, Grosor - 5 mm)";;176.99
;B120777-5;"Traje de Pesca Submarina Cressi Apnea (Talla - 5, Grosor - 5 mm)";187,99;176.99
;B120777-6;"Traje de Pesca Submarina Cressi Apnea (Talla - 6, Grosor - 5 mm)";;176.99
;B120776-2;"Traje de Pesca Submarina Cressi Apnea (Talla - 2, Grosor - 3,5 mm)";;174.99
;;;;
;B103880-XS;"Monopieza Scubapro Sport-5 Gen.2 Mujer (Talla - XS, Grosor - 5 mm)";222,99;209.99
;B103880-S;"Monopieza Scubapro Sport-5 Gen.2 Mujer (Talla - S, Grosor - 5 mm)";222,99;209.99
;B103880-M;"Monopieza Scubapro Sport-5 Gen.2 Mujer (Talla - M, Grosor - 5 mm)";222,99;209.99
;B103880-L;"Monopieza Scubapro Sport-5 Gen.2 Mujer (Talla - L, Grosor - 5 mm)";222,99;209.99
;B103880-XL;"Monopieza Scubapro Sport-5 Gen.2 Mujer (Talla - XL, Grosor - 5 mm)";222,99;209.99
;;;;
;B312040C-AZU;"Poncho Albornoz Cressi Jedi (Color - Azul)";37,99;36.99
;B312040C-NEG;"Poncho Albornoz Cressi Jedi (Color - Negro)";37,99;36.99
;;;;
;B400050-A;"Combo Mares Máscara Tubo Wahoo Neon";38,99;37.99
;;;;
;B303274-G;"Foco Apeks Luna 2000 L";522,99;499.99
;;;;
;B307003-A;"Ordenador de Buceo Cressi Digi";153,99;147.99
;;;;
;B103981;"Emisor Scubapro Smart Plus";260,99;249.99
;;;;
;B309437-XSS;"Jacket Aqualung Axiom Mujer (Talla - XS-S)";569,99;545.99
;B309437-M;"Jacket Aqualung Axiom Mujer (Talla - M)";569,99;545.99
;B309437-ML;"Jacket Aqualung Axiom Mujer (Talla - M-L)";569,99;545.99
;B309437-2XS;"Jacket Aqualung Axiom Mujer (Talla - 2XS)";569,99;545.99
;;;;
;B125685T-AZ;"Máscara de buceo Cressi Nano Crystal (Color - Azul-Transparente)";45,99;44.99
;B125685T-RO;"Máscara de buceo Cressi Nano Crystal (Color - Transparente-Rosa)";;44.99
;;;;
;B400750-A;"Poncho Albornoz Mares Ascent Azul";45,99;44.99
;;;;
;B306794B-S;"Jacket Mares Prestige (Color - Azul, Talla - S)";326,99;314.99
;B306794B-M;"Jacket Mares Prestige (Color - Azul, Talla - M)";;314.99
;;;;
;B103979;"Arnés Scubapro S-Tek Pro Placa Dorsal (Material - Aluminio Anodizado)";413,99;399.99
;B103978;"Arnés Scubapro S-Tek Pro Placa Dorsal (Material - Acero inoxidable)";413,99;399.99
;;;;
;B306803-2;"Monopieza Mares Switch 2,5 mm (Talla - 2, Grosor - 2,5 mm)";;150.99
;B306803-3;"Monopieza Mares Switch 2,5 mm (Talla - 3, Grosor - 2,5 mm)";;150.99
;B306803-4;"Monopieza Mares Switch 2,5 mm (Talla - 4, Grosor - 2,5 mm)";154,99;150.99
;B306803-5;"Monopieza Mares Switch 2,5 mm (Talla - 5, Grosor - 2,5 mm)";;152.99
;B306803-6;"Monopieza Mares Switch 2,5 mm (Talla - 6, Grosor - 2,5 mm)";;150.99
;B306803-7;"Monopieza Mares Switch 2,5 mm (Talla - 7, Grosor - 2,5 mm)";;150.99
;B306803-8;"Monopieza Mares Switch 2,5 mm (Talla - 8, Grosor - 2,5 mm)";;150.99
;;;;
;B105920-SL;"Chaleco Jacket Scubapro Hydros X Hombre (Talla - L)";809,99;789.99
;B105920-SXXL;"Chaleco Jacket Scubapro Hydros X Hombre (Talla - 2XL)";;789.99
;B105920-S;"Chaleco Jacket Scubapro Hydros X Hombre (Talla - S)";;789.99
;B105920-M;"Chaleco Jacket Scubapro Hydros X Hombre (Talla - M)";809,99;789.99
;;;;
;;;;
;B100631;"Octopus Cressi XS Compact";77,99;76.99
;;;;
;;;;
;B306400-DIN;"Pack Regulador Aqualung Helix + Octopus (Salidas - DIN)";398,99;394.99
;B306400-INT;"Pack Regulador Aqualung Helix + Octopus (Salidas - INT)";398,99;394.99
;;;;
;B100739;"Regulador Apeks MTX-R";639,99;640.5
;;;;
;B307305-3536;"Kit Cressi Agua (Aletas + Máscara + Tubo) (Talla - 35-36)";46,99;47.99
;B307305-3738;"Kit Cressi Agua (Aletas + Máscara + Tubo) (Talla - 37-38)";46,99;47.99
;B307305-3940;"Kit Cressi Agua (Aletas + Máscara + Tubo) (Talla - 39-40)";46,99;47.99
;B307305-4142;"Kit Cressi Agua (Aletas + Máscara + Tubo) (Talla - 41-42)";46,99;47.99
;B307305-4344;"Kit Cressi Agua (Aletas + Máscara + Tubo) (Talla - 43-44)";46,99;47.99
;B307305-4546;"Kit Cressi Agua (Aletas + Máscara + Tubo) (Talla - 45-46)";46,99;47.99
;;;;
;B307034-40;"Fusil de Pesca Submarina Cressi SL Star (Tamaño - 40 cm)";114,99;116.99
;B307034-90;"Fusil de Pesca Submarina Cressi SL Star (Tamaño - 90 cm)";;129.99
;B307034-55;"Fusil de Pesca Submarina Cressi SL Star (Tamaño - 55 cm)";114,99;115.99
;;;;
;B160515;"Cuchillo De Buceo Mares Force Plus";41,99;42.99
;;;;
;B306446-10;"Linterna Mares Eos 10LRZ";160,99;163.99
;;;;
;B104025-1;"Máscara Scubapro Synergy 2 (Color - Azul)";;78.99
;B104025-2;"Máscara Scubapro Synergy 2 (Color - Negro)";;79.99
;B104033;"Máscara Scubapro Synergy 2 (Color - Amarillo)";78,99;80.5
;;;;
;;;;
;B309202-BLUE;"Máscara Aqualung Teknika (Color - Azul)";47,99;48.99
;B309202-WHIT;"Máscara Aqualung Teknika (Color - Blanco)";47,99;48.99
;B309202-PETR;"Máscara Aqualung Teknika (Color - Blanco/Azul)";47,99;48.99
;B309202-BLAC;"Máscara Aqualung Teknika (Color - Negro)";47,99;48.99
;;;;
;B1206712;"Chaleco Interior Cressi Black Lite Mujer (Talla - 2, Grosor - 3,5 mm)";46,99;48.99
;B1206713;"Chaleco Interior Cressi Black Lite Mujer (Talla - 3, Grosor - 3,5 mm)";;48.99
;B1206711;"Chaleco Interior Cressi Black Lite Mujer (Talla - 1, Grosor - 3,5 mm)";;48.99
;;;;
;B120193-M;"Traje de Buceo Semiseco Scubapro Nova Scotia 7.5 mm Señora (Talla - M, Grosor - 7,5 mm)";586,99;599.99
;B120193-L;"Traje de Buceo Semiseco Scubapro Nova Scotia 7.5 mm Señora (Talla - L, Grosor - 7,5 mm)";;599.99
;;;;
;B310407-3;"Escarpines Mares Classic NG 5 mm (Talla - 3)";40,99;41.99
;B310407-4;"Escarpines Mares Classic NG 5 mm (Talla - 4)";40,99;41.99
