129101-50;2;"PANTALON ARMOTION EVO T-50";"25/05/2016 10:52:06";89,99;125;1254;"EVIA SUMINISTROS EVIA, S.L.";1;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017";"BF21, BF22, BF23, IRN21, RBE22, RBE23, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"01/03/2023 15:32:54";100038638;"100014443
"
129101-52;2;"PANTALON ARMOTION EVO T-52";"25/05/2016 10:52:06";89,99;125;1254;"EVIA SUMINISTROS EVIA, S.L.";1;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018, CAZA 2016-2017";"BF21, BF22, BF23, IRN21, RBE22, RBE23, RBE24, RBV23, REVER242, TEMPORADA_INVIERNO";"01/03/2023 15:32:54";100038639;"100014443
"
129107-30;1;"PANTALON JR SOFTSHELL BENISPORT  FA32-42 T-30";"21/06/2017 17:55:11";42,99;42,99;7003;"BENISPORT (JOSE MONLLOR, S.L.)";1;"CAZA 2017-2018";"BF23, COMUNIONES, JUNIOR, RBE22, RBE23, RBE24, REVER242";"07/06/2024 11:20:16";100073319;"100025537
"
129107-32;1;"PANTALON JR SOFTSHELL BENISPORT  FA32-42 T-32";"21/06/2017 17:55:12";42,99;42,99;7003;"BENISPORT (JOSE MONLLOR, S.L.)";0;"CAZA 2017-2018";"BF23, COMUNIONES, JUNIOR, RBE22, RBE23, RBE24, REVER242";"07/06/2024 11:20:16";100073320;"100025537
"
129107-34;1;"PANTALON JR SOFTSHELL BENISPORT  FA32-42  T-34";"21/06/2017 17:55:12";42,99;42,99;7003;"BENISPORT (JOSE MONLLOR, S.L.)";0;"CAZA 2017-2018";"BF23, COMUNIONES, JUNIOR, RBE22, RBE23, RBE24, REVER242";"07/06/2024 11:20:16";100073321;"100025537
"
129107-36;1;"PANTALON JR SOFTSHELL BENISPORT  FA81-91 T-36";"21/06/2017 17:55:12";42,99;42,99;7003;"BENISPORT (JOSE MONLLOR, S.L.)";0;"CAZA 2017-2018";"BF23, COMUNIONES, CSW, JUNIOR, RBE22, RBE24, REVER242";"07/06/2024 11:20:16";100073322;"100025537
"
130011B-L;1;"GUANTES STRIKE BOSCOSO ESPAÑOL T.L";"31/07/2017 17:16:42";17,99;14,55;9240;"SKYWAY TECHNOLOGY, S.A.";1;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018";"BF21, LB23, RBV23, REVER242";"14/02/2024 17:51:21";100058135;"100021621
"
130011B-M;1;"GUANTES STRIKE BOSCOSO ESPAÑOL T.M";"31/07/2017 17:16:22";17,99;14,55;9240;"SKYWAY TECHNOLOGY, S.A.";0;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018";"BF21, REVER242";"14/02/2024 17:51:21";100058134;"100021621
"
130011B-S;1;"GUANTES STRIKE BOSCOSO ESPAÑOL T.S";"31/07/2017 17:15:49";17,99;14,55;9240;"SKYWAY TECHNOLOGY, S.A.";0;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018";"BF21, REVER242";"14/02/2024 17:51:21";100058133;"100021621
"
130011B-XL;1;"GUANTES STRIKE BOSCOSO ESPAÑOL T.XL";"31/07/2017 17:17:02";17,99;14,55;9240;"SKYWAY TECHNOLOGY, S.A.";1;"CAZA 2019-2020, CAZA 2018-2019, CAZA 2017-2018";"BF21, LB23, RBV23, REVER242";"14/02/2024 17:51:21";100058136;"100021621
"
