transaccion;url_transaccion;fecha_creacion;primer_idcambiotabla;total_cambios;fecha_insercion;fecha_actualizacion;fecha_confirmacion
8.8.1118686;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.8.1118686;2022-07-27 13:41:00.0;66077852;1;2022-07-27 13:45:19.0;2022-07-27 13:45:20.0;2022-07-27 13:45:19.0
1.25.974432;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.25.974432;2022-07-27 13:41:01.0;66077853;1;2022-07-27 13:45:19.0;2022-07-27 13:45:20.0;2022-07-27 13:45:19.0
10.44.1123256;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.44.1123256;2022-07-27 13:43:00.0;66077854;3;2022-07-27 13:45:19.0;2022-07-27 13:45:20.0;2022-07-27 13:45:19.0
3.16.1111671;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=3.16.1111671;2022-07-27 13:45:00.0;66077857;8;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
2.45.1098102;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.45.1098102;2022-07-27 13:47:59.0;66077865;3;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
4.46.1114567;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.46.1114567;2022-07-27 13:47:59.0;66077868;124;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
10.11.1122655;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.11.1122655;2022-07-27 13:48:00.0;66077992;1;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
10.7.1120323;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.7.1120323;2022-07-27 13:48:00.0;66077993;6;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
5.22.1103793;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.22.1103793;2022-07-27 13:48:00.0;66078119;2;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
5.43.1102912;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.43.1102912;2022-07-27 13:48:00.0;66077999;120;2022-07-27 13:50:22.0;2022-07-27 13:50:27.0;2022-07-27 13:50:22.0
1.46.974292;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.46.974292;2022-07-27 13:51:01.0;66078121;11;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:20.0
4.6.1114436;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.6.1114436;2022-07-27 13:52:59.0;66078134;1;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:20.0
9.14.1112736;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.14.1112736;2022-07-27 13:52:59.0;66078132;2;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:20.0
5.6.1103530;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.6.1103530;2022-07-27 13:53:00.0;66078135;3;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:20.0
4.43.1114129;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=4.43.1114129;2022-07-27 13:53:01.0;66078138;17;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:21.0
6.9.956895;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=6.9.956895;2022-07-27 13:53:03.0;66078155;5;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:21.0
8.21.1118061;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.21.1118061;2022-07-27 13:54:00.0;66078161;2;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:21.0
9.28.1112120;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.28.1112120;2022-07-27 13:54:00.0;66078160;1;2022-07-27 13:55:20.0;2022-07-27 13:55:22.0;2022-07-27 13:55:21.0
9.34.1112111;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.34.1112111;2022-07-27 13:55:00.0;66078163;2;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:24.0
2.47.1099257;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.47.1099257;2022-07-27 13:56:00.0;66078165;1;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:24.0
2.39.1099057;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.39.1099057;2022-07-27 13:57:00.0;66078166;1;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:24.0
8.8.1118687;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.8.1118687;2022-07-27 13:57:01.0;66078167;2;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:24.0
